log_y_lote,region
.9148536,"2B"
1.133928,"2B"
-.8273599,"1B"
4.143548,"1B"
4.272611,"1B"
1.268445,"1B"
1.448689,"1B"
4.764121,"1B"
2.240746,"1B"
1.896588,"1B"
1.356662,"1B"
2.802057,"1B"
2.853235,"1B"
3.198514,"1B"
3.225534,"1B"
2.305291,"1B"
-.3480551,"1B"
3.871084,"1B"
3.420768,"1B"
3.587536,"1B"
1.407202,"1B"
3.513129,"1B"
3.708812,"1B"
4.387334,"1B"
4.387334,"1B"
4.387334,"1B"
2.662209,"1B"
3.73786,"1B"
3.839362,"1B"
1.718592,"1B"
2.146333,"1B"
1.708854,"1B"
1.481177,"1B"
1.198536,"1B"
1.392485,"1B"
.8189425,"1B"
4.289773,"1B"
2.177071,"1B"
3.847645,"1B"
1.87896,"1B"
3.524453,"1B"
4.263356,"1B"
4.263356,"1B"
1.039432,"1B"
4.272171,"1B"
3.76133,"1B"
2.165089,"1B"
1.943297,"1B"
4.516621,"1B"
2.56508,"1B"
.507179,"1B"
2.205101,"1B"
.5976875,"1B"
1.023979,"1B"
3.096807,"1B"
3.645834,"1B"
3.168496,"1B"
1.551525,"1B"
4.222144,"1B"
2.876864,"1B"
4.849715,"1B"
2.107188,"1B"
-1.223631,"1B"
.4339748,"1B"
1.242583,"1B"
.5112415,"1B"
1.143825,"1B"
-.3009119,"1B"
2.479106,"1B"
3.601779,"1B"
2.22402,"1B"
1.962835,"1B"
1.842473,"1B"
1.245042,"1B"
2.202723,"1B"
1.235466,"1B"
2.294419,"1B"
2.88546,"1B"
3.85596,"1B"
-1.376669,"1B"
4.828362,"1B"
1.972477,"1B"
.5145468,"1B"
1.674701,"1B"
3.445026,"1B"
3.242725,"1B"
1.604554,"1B"
-.647824,"1B"
-.4079668,"1B"
5.175545,"1B"
1.52364,"1B"
1.39691,"1B"
4.301288,"1B"
2.61319,"1B"
3.201156,"1B"
.6517782,"1B"
3.637407,"1B"
2.060565,"1B"
1.070587,"1B"
.8038608,"1B"
4.474823,"1B"
3.614837,"1B"
2.467472,"1B"
-.9771029,"1B"
1.873667,"1B"
1.837485,"1B"
2.424387,"1B"
4.025018,"1B"
3.372098,"1B"
.2967286,"1B"
3.671799,"1B"
.9971921,"1B"
3.763319,"1B"
