ao,semestre,cod_lote,edad,id_mesesdecosecha,cent_x,cent_y
2002,1,158970071602,23.6,1,1.1e+06,1080513
2002,2,170010006701,7.1,2,836976,1061128
2002,1,170010018006,7.1,2,835114,1057072
2002,1,170010064101,6.1,2,837332,1051032
2002,1,170010133602,6.7,2,835799,1050637
2002,1,170010165502,1.9,2,835023,1045905
2002,2,170010167201,4.6,2,837736,1044883
2002,2,170010172101,27.6,2,834236,1045103
2002,2,170010189001,40,2,837686,1047448
2002,1,170010203907,7,2,843072,1046764
2002,2,170010209201,63,2,835579,1061463
2002,1,170010263701,15,2,833941,1054306
2002,1,170130092302,57.6,2,851745,1119150
2002,2,170130093803,4.1,2,851016,1117446
2002,1,170130100801,10,2,852425,1118841
2002,1,170130132001,22,2,857490,1110971
2002,1,170130132501,32,2,857098,1110619
2002,1,170130133001,27.1,2,858444,1111044
2002,1,170130135201,10,2,837096,1109739
2002,2,170130151501,5,2,846592,1105948
2002,1,170130195703,17.1,2,851770,1118818
2002,2,170130199005,26.6,2,853309,1117600
2002,1,170420029001,3.9,2,809312,1071376
2002,2,170420039601,26.7,2,814067,1075145
