"","cod_lote","ao","semestre","cosecha","sta_num","heat_index","distance","elev_diff"
"188","50930175102","2002","1","1","26215020",".","14215.4986987744","1223"
"189","50930175606","2002","2","2","26215020",".","13698.1462349681","856"
"190","50930177602","2002","2","2","26215020",".","12734.2440752955","854"
"191","50930179011","2002","2","2","27015260",".","6926.54002472151","59"
"192","50930285209","2002","1","1","15","2350.4","6987.56138584845","108"
"193","51010001706","2002","2","2","15","2279.8","5812.65531264061","-96"
"194","51010028801","2002","1","1","15","2350.4","6427.82822766037","334"
"195","51010031706","2002","2","2","15","2279.8","5920.33255152892","40"
"196","51010034802","2002","1","1","11115040","2065.94","7145.46893288317","140"
"197","51010035304","2002","1","1","11115040","2065.94","6038.8422912219","150"
"198","51010038203","2002","1","1","11115040","2065.94","8909.81242044535","-149"
"199","51010038503","2002","1","1","11115040","2065.94","9510.52991384308","-63"
"200","51010039102","2002","1","1","26225040","2250.72","5016.98025278818","312"
"201","51010049304","2002","1","1","26225040","2250.72","7227.9897608308","325"
"202","51010083102","2002","1","1","26225040","2250.72","7633.72802538217","289"
"203","51010099002","2002","2","2","23085220","2752.68","8689.93780375281","405"
"204","51010105801","2002","2","2","23085220","2752.68","8750.92711070445","336"
"205","51010119702","2002","1","1","27025030","1871.9452955665","30092.3808165119","224"
"206","51010126502","2002","1","1","27015190",".","30245.4447740913","-320"
"207","51010188601","2002","1","1","27025030","1871.9452955665","27900.8092398407","-512"
"208","51010192102","2002","1","1","27015070","2638.9","17900.6288154819","183"
"209","51070002901","2002","2","2","27015070","2801.82","16981.2201530421","187"
"210","51070089401","2002","2","2","27015070","2801.82","15989.2266589872","91"
"211","51130012202","2002","1","1","26215020",".","19614.4615475062","1339"
"212","51130012403","2002","2","2","27015070","2801.82","18399.5728829523","368"
"213","51130078901","2002","2","2","27015070","2801.82","16255.3355755942","244"
"214","51130082901","2002","2","2","26195020","2575","9699.86875142144","518"
"215","51130084201","2002","2","2","26195020","2575","9207.81327917731","105"
"216","51250005001","2002","2","2","26235030","3384.84","29675.3172449042","854"
"217","51250005801","2002","2","2","26235030","3384.84","28044.2219408185","1334"
"218","51250008801","2002","1","1","26195030","1511.8","6329.79625902077","-438"
"219","51250022802","2002","2","2","26195030","1593.78","7280.02874928741","-320"
"220","51250035801","2002","1","1","26195030","1511.8","5025.06324412014","-38"
"221","51250099001","2002","1","1","26195030","1511.8","5167.60727828637","-328"
"222","51250108801","2002","2","2","26195030","1593.78","2245.81757318963","-173"
"223","51250112401","2002","1","1","26195030","1511.8","4390.62370872513","-84"
"224","51250176501","2002","1","1","44","2353.1","9046.58989966548","215"
"225","51250183302","2002","1","1","44","2353.1","7327.20883520137","-53"
"226","51290020101","2002","2","1","44","2245.3","8132.32176098684","138"
"227","51380028301","2002","2","2","44","2245.3","9633.8662598332","-113"
"228","51380028702","2002","2","2","26225040","2442.28","13777.3642722001","275"
"229","51380032301","2002","2","2","27015260",".","10965.7284029799","-81"
"230","51380051501","2002","2","2","27015260",".","13442.1685063608","-339"
"231","51380113901","2002","2","2","26185010",".","15429.6457087488","-881"
"232","51380127103","2002","2","2","26185010",".","15682.1670583903","-975"
"233","51380149501","2002","1","1","11115020",".","30241.6029064953","556"
"234","51380163802","2002","1","1","26235030","3206","29793.2860728072","1117"
"235","51380165401","2002","2","2","26235030","3384.84","27916.6016487293","764"
"236","51380166901","2002","1","1","26225040","2250.72","23395.441227676","-480"
"237","51380174901","2002","2","2","26225040","2442.28","22269.6544154501","-254"
"238","51380201201","2002","1","1","26235030","3206","28633.9392547267","958"
"239","51380202406","2002","1","1","26225040","2250.72","20276.26348762","456"
"240","51380221201","2002","2","2","26195020","2575","11678.5800660971","568"
"241","51380290001","2002","2","2","26195020","2575","12703.427116854","337"
"242","51380334901","2002","1","1","26195020","2416.78","12739.2218569806","337"
"243","51380390502","2002","2","2","26195020","2575","11190.3005377562","353"
"244","51380453604","2002","1","1","26195020","2416.78","13698.3103816638","600"
"245","51380495401","2002","1","1","26225040","2250.72","12819.1370431701","163"
"246","51450002201","2002","2","1","26225040","2442.28","15789.2638221576","279"
"247","51450126203","2002","1","2","26215010",".","10229.2215217672","-215"
"248","51480003301","2002","2","2","26215010",".","6440.29275082661","-222"
"249","51480005802","2002","2","2","26215010",".","5565.04350112363","22"
"250","51480007101","2002","1","1","26215010",".","10557.7427520648","-71"
"251","51500001701","2002","2","2","26215010",".","11396.5697672956","76"
"252","51900006301","2002","1","1","26215010",".","7658.27358096674","-492"
"253","51900007501","2002","1","1","26215010",".","5075.25076378046","-268"
"254","51900019001","2002","2","2","26215010",".","5535.73447306449","-409"
"255","51900031201","2002","2","2","26215010",".","6650.06779354243","-516"
"256","51970006601","2002","1","1","11025010","1343.76","9772.02788289432","-229"
"257","51970048001","2002","1","1","11025010","1343.76","9476.26010973793","-186"
"258","51970056203","2002","1","1","11025010","1343.76","10870.5046758047","-281"
"259","51970177603","2002","1","1","11025010","1343.76","12028.6768824326","-379"
"260","51970182001","2002","2","2","26215010",".","13641.6824371456","-333"
"261","52090012002","2002","2","2","26215010",".","12869.1011894751","-266"
"262","52090051702","2002","1","1","26215010",".","12463.8345738497","-439"
"263","52090053802","2002","2","2","26215010",".","4337.29764239414","-269"
"264","52090064508","2002","2","2","26215010",".","7824.22577450954","-347"
"265","52090072901","2002","2","2","26215010",".","5254.26761960368","-268"
"266","52090108202","2002","2","2","11025010","1482.02888888889","11209.2251784877","-123"
"267","52090153401","2002","1","2","11025010","1343.76","14258.7996496464","-141"
"268","52090154708","2002","1","2","26235030","3206","5006.45185823067","1089"
"269","52090165007","2002","2","1","23085220","2752.68","4492.49786880262","68"
"270","52090187105","2002","1","1","23085220","2647.76","4707.89621996132","467"
"271","52090191902","2002","2","2","23085220","2752.68","1890.05298416007","-39"
"272","52090221205","2002","1","2","23085220","2647.76","1721.51802381751","300"
"273","52370019701","2002","1","1","26215020",".","12608.2754585815","1043"
"274","52370030401","2002","1","1","26215020",".","13083.4533137695","1212"
"275","52370035802","2002","1","1","26215020",".","11423.0788760923","801"
"276","52370053302","2002","1","1","26215020",".","12979.4769071798","1212"
"277","52400029001","2002","2","2","23085220","2752.68","11917.2330282291","145"
"278","52400051401","2002","1","1","23085220","2647.76","11429.3831737282","79"
"279","52400068501","2002","2","2","23085220","2752.68","8567.84266540412","396"
"280","52400080701","2002","1","1","23085220","2647.76","9326.03478673929","266"
"281","52400117602","2002","2","2","23085220","2752.68","9571.19394070346","-50"
"282","52400146401","2002","1","1","23085030","1974.2","12077.8893180125","-272"
"283","52400166602","2002","2","2","23085030","1981.54","10157.2248738669","-143"
"284","52400166702","2002","2","2","23085210",".","10293.7914654515","311"
"285","52400166801","2002","2","2","27015190",".","9491.47999359754","185"
"286","52400181202","2002","2","2","27015190",".","11920.8062483852","141"
"287","52400238801","2002","1","1","27015190",".","12849.6397376568","158"
"288","52400317302","2002","2","2","27015190",".","12764.764629156","78"
"289","52820002502","2002","2","1","15","2279.8","13391.2566449876","-92"
"290","52820116501","2002","1","2","15","2350.4","15266.0528797008","226"
"291","52820130102","2002","1","2","26175040","3267.15714285714","13512.9901558517","1241"
"292","52820141402","2002","1","2","26175040","3267.15714285714","12832.7940717093","952"
"293","52820143907","2002","2","1","26175040","3366.65","13882.929081892","1241"
"294","52820148301","2002","1","2","15","2350.4","12887.5721274852","176"
"295","52820151315","2002","1","2","27015260",".","12851.9214024529","-253"
"296","52820154602","2002","2","1","26185010",".","12331.5523548608","-840"
"297","52840035301","2002","1","1","26185010",".","3318.80375360667","-185"
"298","52840039401","2002","1","1","26185010",".","3445.8146944422","-93"
"299","52840124501","2002","1","1","26185010",".","1542.39941816564","-13"
"300","52840124701","2002","1","1","26185010",".","13727.6213302835","-325"
"301","53060010401","2002","1","1","26185010",".","1817.32108630544","-362"
"302","53060012001","2002","1","1","26175030","2620.39926108374","5042.7149543234","547"
"303","53060015301","2002","2","2","26175030","2808.64","3853.55910677624","274"
"304","53060016101","2002","2","2","26175030","2808.64","5665.29232441229","449"
"305","53060031201","2002","1","1","26175030","2620.39926108374","3865.72357672231","69"
"306","53060090701","2002","2","2","26","3282.7","9825.18128471321","562"
"307","53060098402","2002","2","2","26195030","1593.78","12360.1854181943","-141"
"308","53100000201","2002","2","2","26195030","1593.78","11774.5143804922","-129"
"309","53100034901","2002","2","2","26","3282.7","9604.09841497201","562"
"310","53100044801","2002","2","2","26","3282.7","9997.95593556381","684"
"311","53100075702","2002","2","2","26195020","2575","17447.2066647545","445"
"312","53130023502","2002","2","2","44","2245.3","16945.9373868","-37"
"313","53130087301","2002","1","1","15","2350.4","12445.1438048466","241"
"314","53130090201","2002","1","1","15","2350.4","11825.1870399992","-279"
"315","53150014701","2002","1","1","26235030","3206","5068.10203534008","664"
"316","53150083201","2002","1","1","26235030","3206","6457.09599976342","1234"
"317","53150083801","2002","1","1","26235030","3206","7772.93852463023","1124"
"318","53470016201","2002","1","1","26","3376.8","12177.1182744115","845"
"319","53470019804","2002","1","1","15","2350.4","6790.28069965752","-249"
"320","53470046801","2002","1","2","15","2350.4","8099.03362915985","-126"
"321","53470067601","2002","2","1","26235030","3384.84","5784.31681585339","845"
"322","53470074501","2002","1","1","26235030","3206","5635.61311289953","759"
"323","53470086502","2002","1","1","26235030","3206","4665.34205385645","799"
"324","53470121307","2002","1","2","27015190",".","18080.5820172571","13"
"325","53470134401","2002","2","1","27015190",".","21021.0791477142","-46"
"326","53530006301","2002","2","1","27015190",".","19002.4866749505","-30"
"327","53530014201","2002","2","1","27015190",".","19773.704389873","-34"
"328","53530018202","2002","1","2","27015190",".","18810.7917031099","8"
"329","53530019402","2002","1","2","23125080","2440.21990147783","12168.9266769037","324"
"330","53530021505","2002","2","1","23125080","2439.3","12234.9020549085","324"
"331","53610010501","2002","1","1","23125080","2440.21990147783","11890.4419961639","15"
"332","53610015001","2002","2","2","23125080","2439.3","11866.4431510465","124"
"333","53610016001","2002","1","1","23125080","2440.21990147783","11909.7106892038","123"
"334","53610221004","2002","2","2","24025030",".","5493.52919536097","430"
"335","53610223801","2002","2","2","21205740",".","59796.6642201471","-1544"
"336","53640028803","2002","1","2","21205740",".","60498.8674556728","-1850"
"337","53640031201","2002","1","2","21205740",".","60922.0404831609","-1889"
"338","53640049201","2002","1","2","24035040",".","42287.5528806114","-912"
"339","53640059603","2002","2","1","24035040",".","43034.6575010038","-814"
"340","53640063502","2002","1","2","24035040",".","41434.9853112693","-998"
"341","53640154703","2002","1","2","24035040",".","40751.839944334","-1094"
"342","53640155601","2002","2","1","24025030",".","3245.86644190711","279"
"343","53640157503","2002","1","2","24035120","814.546896551724","12144.8499674209","869"
"344","53640168102","2002","2","1","24035120","966.44842364532","11896.3664675101","727"
"345","53680023103","2002","1","2","24025030","373.16","5009.61989237567","120"
"346","53680023201","2002","2","1","24035170","908.22","11022.4219607595","617"
"347","53680026401","2002","1","2","23125080","2440.21990147783","2294.84959064665","13"
"348","53680028601","2002","2","1","24035040",".","27244.0130794908","-653"
"349","53680032301","2002","2","1","21205740",".","60183.6229100378","-1694"
"350","53680037209","2002","2","1","24025030",".","4269.09991558402","276"
"351","53680039803","2002","1","2","24025030","373.16","6140.02677808029","-56"
"352","53680095605","2002","1","2","24035040",".","29313.5987567006","-1140"
"353","54110046301","2002","1","1","24035040",".","28048.5276142696","-884"
"354","54110129905","2002","2","2","24035040",".","28507.4494403199","-1152"
"355","54110268603","2002","2","2","1","1566.1","9714.47286061126","-637"
"356","54670115901","2002","1","2","1","1660.3","5437.16199768214","-346"
"357","54670179401","2002","1","2","1","1660.3","6984.60348722237","-503"
"358","54830091201","2002","2","2","8","2482.3","4146.74730502253","268"
"359","54830094601","2002","1","1","26155110","1440.98","2842.68894645158","162"
"360","54830218103","2002","1","1","1","1660.3","9395.11143336083","-602"
"361","54830223904","2002","2","2","26185010",".","12978.0650684094","-708"
"362","54830262701","2002","2","2","26185010",".","12326.3131737401","-708"
"363","55430000101","2002","2","2","26185010",".","3010.84751372561","-362"
"364","55430029901","2002","2","2","26185010",".","3075.13248090768","-300"
"365","55430030201","2002","1","1","26185010",".","2511.59839383546","-309"
"366","55430033301","2002","2","2","26","3282.7","18859.311924548","547"
"367","55430038501","2002","1","1","26185010",".","12699.5942766146","-708"
"368","55430047302","2002","1","1","26145020","1389.26","4066.6353124857","1253"
"369","55430071701","2002","2","2","26145020","1558.24344827586","5736.87221623876","1390"
"370","55430081802","2002","1","1","26145020","1389.26","8622.65274898704","1170"
"371","55430081901","2002","1","1","26145020","1389.26","10664.6527365873","1363"
"372","55430133005","2002","1","1","26145020","1389.26","8798.16164836133","1575"
"373","55430134603","2002","2","2","26135090",".","14113.0220917722","-178"
"374","55430203301","2002","1","1","20","2861.8","12003.6352792339","435"
"375","55760015402","2002","1","2","35","2490.8","584.623348114753","-30"
"376","55760016801","2002","2","1","8","2482.3","4052.81129853452","454"
"377","55760020702","2002","1","2","26185040","179.6","22558.6740241392","-1066"
"378","55760020906","2002","1","2","26185040","179.6","18685.0182080855","-1201"
"379","55760025208","2002","1","2","26185040","179.6","22770.6445370356","-1066"
"380","55760059503","2002","2","1","40","2243","18316.162023163","537"
"381","55760092104","2002","2","1","40","2243","19154.377946352","301"
"382","55760100805","2002","1","2","26","3376.8","22308.9373436406","943"
"383","56280147401","2002","2","2","26","3282.7","22922.2214133328","376"
"384","56280184101","2002","2","2","42","2898.6","14171.8975858452","181"
"385","56280196403","2002","1","1","1","1660.3","13299.8771525204","-610"
"386","56280229901","2002","2","2","26185010",".","17743.3885021494","-528"
"387","56280254301","2002","1","1","26185010",".","12448.3014286091","-288"
"388","56420001202","2002","1","1","26185040","179.6","21862.9377886091","-989"
"389","56420006201","2002","2","2","26185010",".","14205.1478034577","-377"
"390","56420008401","2002","2","2","26185040","305.02","22530.8857166224","-1043"
"391","56420013001","2002","1","1","26185040","179.6","21838.5738790405","-1208"
"392","56420014801","2002","1","1","26185010",".","16551.8282680814","-743"
"393","56420017301","2002","2","2","23055040","2099.64","19097.175089614","-477"
"394","56420023905","2002","1","1","23055040",".","17094.4894601805","-289"
"395","56420027902","2002","2","2","23055040","2099.64","9949.55395639546","54"
"396","56420031401","2002","1","1","23055040",".","12830.3992054188","65"
"397","56420054305","2002","2","2","23055040","2099.64","9431.79364123041","-173"
"398","56420062904","2002","1","1","40","2265","10490.2871646339","386"
"399","56420067104","2002","1","1","40","2265","12144.1873935212","258"
"400","56420067114","2002","1","1","40","2265","10986.1359631728","400"
"401","56420070001","2002","2","2","23055040","2099.64","10994.8013225029","94"
"402","56420079401","2002","1","1","40","2265","9050.16852760261","204"
"403","56420093004","2002","1","1","40","2265","6780.50939766411","18"
"404","56420093107","2002","1","1","40","2265","7685.73415976993","190"
"405","56420098503","2002","1","1","23055040",".","7546.89798016312","-137"
"406","56420105103","2002","2","2","26185010",".","17263.8507107468","-526"
