"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"130",21205720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.12,294.34,256.217931034483,230.88,245.76,264.305221674877,262.94,626.226206896552,373.48,52.46,NA,71.02,63.4751724137931,NA,NA,23.86,NA,NA
"131",21205740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.84,36.4914285714286,425.126206896552,44.2414285714286,NA,53,507.48,51.72,439.948965517241,470.522068965517,516.521379310345,567.610714285714,526.342142857143,459.805541871921,500.202597153804,401.58,NA,NA
"132",21205770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.44,113.54,638.54,693.687857142857,893.631428571429,847.96,709.32,607.6,481.96,585.94275862069,456.136945812808,NA,106.8,66.08,533.359523809524,NA,NA
"133",21205790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.52,670.58,869.2,884.6,729,121.22,747.5,821.4,673.835,718.569655172414,903.693103448276,809.06,873.626748768473,852.56,906.8,899.9,NA,NA
"134",21205840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",21205850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.488571428571,531.254482758621,94.43,794.582142857143,757.233571428572,471.63,NA,NA,NA,NA
"136",21205870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.131428571429,-0.649999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",21205880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.11,82.11,NA,NA,NA,NA,NA,NA,NA,NA
"138",21205890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.92,103.22,119.51,887.05,NA,109.344482758621,NA,NA,NA,NA,NA
"139",21205910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.21,-53.58,88.9,NA,103.2,120.9,721.92,NA,NA,NA,NA,NA,NA
"140",21205920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.16,NA,83.95,747.444559386973,60.81,781.012068965517,870.094285714286,861.79,896.88,92.22,NA,NA,NA
"141",21205940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.36,NA,NA,NA,63.4,NA,42.1,381.08,NA,NA,NA,NA
"142",21205960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.31,NA,110.4,892.44,701.69,669.293333333333,677.307777777778,NA,NA,NA,NA
"143",21205970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.01,682.284137931034,751.492936507937,770.435,NA,NA,NA,NA,NA,NA,NA,NA
"144",21205980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.62,745.18,893.76,899.869655172414,844.2,848.6,867.472167487685,844.635714285714,760.18,787.9,887.320689655172,751.78,784.255862068966,123.02,NA,NA,NA,NA
"145",21205990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",21206010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",21206020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",21206030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.77,60.96,58.9885714285714,64.5548275862069,NA,NA,NA,NA
"149",21206050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.24,618.8,733.96,84,633.14,84.58,801.153793103448,598.903571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",21206180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.666428571429,211.099310344828,1355.54965517241,1493.58206896552,1472.49642857143,1508.30206896552,1495.58275862069,84.9,NA,171.3,1386.98,16.64,634.98,NA,NA,NA,NA,NA
"151",21206190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,556.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",21206210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.3,1071.37,182.3,NA,NA,189.52,698.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",21206220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.04,901.637142857143,952.510517241379,NA,NA,94.2,NA,NA,NA,NA,NA,155.52,993.26,1105.44857142857,782.06,NA,NA,NA
"154",21206230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.1,763.18,769.88,753.695172413793,722.871034482759,742.8,777.18,NA,96.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",21206260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.82,813.724444444444,710.78,NA,117.866428571429,637.68,NA,126.4,619.420689655172,522.22,794.636551724138,645.32,697.975862068966,794.192068965517,NA,69.28,380.44,NA
"156",21206280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.895,277.34,515.248965517241,611.319310344827,68.94,519.586666666667,573.149778325123,680.28,592.455714285714,559.66,632.6,466.04,635.419326765189,69.02,78,NA,NA,NA
"157",21206490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",21206500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.62,1170.68,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",21206510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,382.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",21206550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.2164285714286,561.62027093596,864.72,NA,85.38,550.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",21206560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.02,160.9,1159.73428571429,1121.99123152709,37.46,NA,146,12.54,17.38,81.1,151.32,1020.72642857143,NA,NA,180.02,1180.92068965517,NA,NA
"162",21206570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.42,896.603743842365,74.3,450.56,NA,NA,NA,NA,NA
